!
!     ZIMS FILE NAME :  LF7-10_ep225_top.grd
!     FORMATTED FILE CREATION DATE: 26/01/2021
!     FORMATTED FILE CREATION TIME: 09:41
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   56,  83,  396608.6875,  404808.6875,  2393950.0000,  2399450.0000
   0.0000,  100.0000,  100.0000
@
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31      3297.3430      3293.6189      3289.7480      3285.1079
      3279.2400      3272.0850      3263.8940      3254.9551      3245.6680
      3236.6560      3228.6951      3222.3159      3217.2351      3212.1299
      3204.5691      3197.2129      3190.2461      3184.1489      3179.6699
      3177.2791      3177.2461      3179.5010      3183.6599      3189.0830
      3194.9160      3200.1709      3203.9351      3205.5769      3204.8479
      3201.7820      3196.2881      3188.4551      3178.4980      3166.8630
      3154.0559      3140.4299      3126.2729      3111.8921      3097.4199
      3082.9041      3068.3259  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31      3300.2700      3296.2329      3292.0481      3287.0129
      3280.8130      3273.4080      3264.9580      3255.6960      3246.0500
      3236.8081      3228.8889      3222.7029      3217.8081      3213.1069
      3202.4280      3194.5129      3187.4939      3181.7209      3177.6460
      3175.6680      3175.9580      3178.3550      3182.4641      3187.6230
      3193.0649      3197.9331      3201.4199      3202.9651      3202.4209
      3199.5630      3194.3779      3186.9189      3177.4399      3166.3650
      3154.0591      3140.8269      3127.0200      3112.8521      3098.5161
      3084.2280      3069.9580  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31      3302.3479      3298.2700      3293.9470      3288.7100
      3282.1641      3274.3450      3265.4290      3255.7141      3245.8311
      3236.7090      3229.1489      3223.3730      3218.9609      3214.8779
      3198.1189      3190.6689      3183.9089      3178.4309      3174.7700
      3173.3069      3174.0610      3176.8081      3180.9331      3185.8560
      3190.9170      3195.3689      3198.4819      3199.9299      3199.3701
      3196.6650      3191.7771      3184.7949      3175.9670      3165.5691
      3153.8501      3141.1101      3127.6079      3113.6179      3099.5420
      3085.6660      3071.7649  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3306.8320      3303.3640      3299.6580      3295.4961      3290.0669
      3283.1001      3274.6909      3265.1389      3255.0149      3245.1340
      3236.4021      3229.4231      3224.2939      3220.3931      3216.9771
      3193.0291      3186.1001      3179.5940      3174.3931      3171.1750
      3170.2629      3171.6270      3174.6899      3178.8831      3183.6489
      3188.3899      3192.3750      3195.1650      3196.3181      3195.5930
      3192.8950      3188.2480      3181.7520      3173.5430      3163.7600
      3152.5801      3140.2480      3127.0750      3113.5271      3100.0649
      3086.9131  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3306.4221      3303.3689      3300.4199      3296.4790      3290.8931
      3283.4500      3274.3689      3264.2339      3253.8789      3244.2371
      3236.0850      3229.8401      3225.2600      3221.4319  0.1000000E+31
      3187.8049      3181.2500      3174.9500      3170.0129      3167.2019
      3166.8459      3168.6260      3171.9680      3176.2520      3180.9250
      3185.3311      3188.9519      3191.2881      3192.0281      3191.0239
      3188.2739      3183.8340      3177.7180      3169.9360      3160.5281
      3149.6699      3137.6890      3125.1160      3112.4519      3099.9470
      3087.7041  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3305.5830      3303.2319      3300.7329      3296.9180      3291.1130
      3283.1799      3273.5320      3263.0569      3252.7700      3243.5879
      3236.1060      3230.3621      3225.8950      3221.7500  0.1000000E+31
      3182.7629      3176.5210      3170.4199      3165.7451      3163.3110
      3163.3279      3165.4399      3169.0010      3173.3579      3177.9041
      3182.0339      3185.2090      3187.0649      3187.4121      3186.1919
      3183.4641      3179.2061      3173.2959      3165.6311      3156.2520
      3145.4609      3133.9160      3122.1941      3110.6389      3099.2910
      3088.1121  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3305.1550      3303.1201      3300.7700      3296.8569      3290.7439
